year,name,firstname,lastname,position,weight
2015,Ameer Abdullah,Ameer,Abdullah,RB,205
2015,Nelson Agholor,Nelson,Agholor,WR,198
2015,Jay Ajayi,Jay,Ajayi,RB,221
2015,Kwon Alexander,Kwon,Alexander,OLB,227
2015,Mario Alford,Mario,Alford,WR,180
2015,Javorius Allen,Javorius,Allen,RB,221
2015,Adrian Amos,Adrian,Amos,FS,218
2015,Dres Anderson,Dres,Anderson,WR,187
2015,Henry Anderson,Henry,Anderson,DE,294
2015,Rory 'Busta' Anderson,Rory 'Busta',Anderson,TE,244
2015,Stephone Anthony,Stephone,Anthony,ILB,243
2015,Arik Armstead,Arik,Armstead,DT,292
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,212
2015,Neiron Ball,Neiron,Ball,OLB,236
2015,Tavaris Barnes,Tavaris,Barnes,DE,282
2015,Wil Baumann,Wil,Baumann,P,187
2015,Vic Beasley,Vic,Beasley,OLB,246
2015,Blake Bell,Blake,Bell,TE,252
2015,Kenny Bell,Kenny,Bell,WR,197
2015,Bryan Bennett,Bryan,Bennett,QB,211
2015,Michael Bennett,Michael,Bennett,DT,293
2015,E.J. Bibbs,E.J.,Bibbs,TE,258
2015,Angelo Blackson,Angelo,Blackson,DT,318
2015,Al Bond,Al,Bond,OG,303
2015,Detrick Bonner,Detrick,Bonner,FS,207
2015,Anthony Boone,Anthony,Boone,QB,231
2015,Brett Boyko,Brett,Boyko,OT,301
2015,Nick Boyle,Nick,Boyle,TE,268
2015,Brandon Bridge,Brandon,Bridge,QB,229
2015,Kyle Brindza,Kyle,Brindza,K,236
2015,Da'Ron Brown,Da'Ron,Brown,WR,205
2015,Dominique Brown,Dominique,Brown,RB,234
2015,Jamon Brown,Jamon,Brown,OT,323
2015,Malcolm Brown,Malcolm,Brown,RB,224
2015,Malcom Brown,Malcom,Brown,DT,319
2015,Trenton Brown,Trenton,Brown,OG,355
2015,Michael Burton,Michael,Burton,FB,242
2015,Ibraheim Campbell,Ibraheim,Campbell,SS,208
2015,A.J. Cann,A.J.,Cann,OG,313
2015,Shane Carden,Shane,Carden,QB,218
2015,Joe Cardona,Joe,Cardona,LS,242
2015,Alex Carter,Alex,Carter,CB,196
2015,B.J. Catalon,B.J.,Catalon,RB,186
2015,Donald Celiscar,Donald,Celiscar,CB,194
2015,Anthony Chickillo,Anthony,Chickillo,DE,267
2015,Gerald Christian,Gerald,Christian,TE,244
2015,Kyle Christy,Kyle,Christy,P,202
2015,Frank Clark,Frank,Clark,DE,271
2015,Kaelin Clay,Kaelin,Clay,WR,195
2015,Cameron Clear,Cameron,Clear,TE,277
2015,T.J. Clemmings,T.J.,Clemmings,OT,309
2015,Sammie Coates,Sammie,Coates,WR,212
2015,David Cobb,David,Cobb,RB,229
2015,Takoby Cofield,Takoby,Cofield,OT,310
2015,Justin Coleman,Justin,Coleman,CB,185
2015,Tevin Coleman,Tevin,Coleman,RB,206
2015,Jalen Collins,Jalen,Collins,CB,203
2015,La'el Collins,La'el,Collins,OT,305
2015,Landon Collins,Landon,Collins,SS,228
2015,Chris Conley,Chris,Conley,WR,213
2015,Amari Cooper,Amari,Cooper,WR,211
2015,Xavier Cooper,Xavier,Cooper,DT,293
2015,Christian Covington,Christian,Covington,DT,289
2015,Justin Cox,Justin,Cox,FS,191
2015,Corey Crawford,Corey,Crawford,DE,283
2015,Rob Crisp,Rob,Crisp,OT,301
2015,John Crockett,John,Crockett,RB,217
2015,Jamison Crowder,Jamison,Crowder,WR,185
2015,Yannik Cudjoe-Virgil,Yannik,Cudjoe-Virgil,OLB,248
